,Date,Match,Stadium,Team1,Score1,Team2,Score2,Winner
0,"4th November, 1987",1987-1988 Reliance World Cup - 1st Semi-Final,"Gaddafi Stadium, Lahore",Australia,(49 overs)  249,Australia,(50 overs)  267/8,Australia won by 18 runs
1,"5th November, 1987",1987-1988 Reliance World Cup - Semi-Final,"Wankhede Stadium, Mumbai",England,(45.3 overs)  219,England,(50 overs)  254/6,England won by 35 runs
2,"8th November, 1987",1987-1988 Reliance World Cup - Final,"Eden Gardens, Kolkata",Australia,(50 overs)  253/5,Australia,(50 overs)  246/8,Australia won by 7 runs
